IControl prefs:  border width: 18, border height: 18
IControl prefs:  title height: 16, Window height: 18
IControl prefs:  volume guage width: 19
screen width: 1024
Screen height: 768
entry Processing directory: PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T
Formatting actual folder - not a slove folder
screen width: 1024
windowWidth: 320
Dumping Icon Array of 267 icons, max width is 166px
Icon 43: Width = 42, Height = 42, Text Width = 30, Text Height = 13, Max Width = 42, Max Height = 57, x = 600, y = 2958, Text = Trolls.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/Trolls.info
Icon 44: Width = 42, Height = 42, Text Width = 119, Text Height = 13, Max Width = 119, Max Height = 57, x = 385, y = 2958, Text = TroisPetitsCochonsFr.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TroisPetitsCochonsFr.info
Icon 45: Width = 42, Height = 42, Text Width = 25, Text Height = 13, Max Width = 42, Max Height = 57, x = 248, y = 2958, Text = Trog.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/Trog.info
Icon 46: Width = 42, Height = 42, Text Width = 85, Text Height = 13, Max Width = 85, Max Height = 57, x = 50, y = 2958, Text = TroddlersImage.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TroddlersImage.info
Icon 47: Width = 42, Height = 42, Text Width = 79, Text Height = 13, Max Width = 79, Max Height = 57, x = 757, y = 2891, Text = TroddlersFiles.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TroddlersFiles.info
Icon 48: Width = 42, Height = 42, Text Width = 84, Text Height = 13, Max Width = 84, Max Height = 57, x = 579, y = 2891, Text = TrivialPursuitFr.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TrivialPursuitFr.info
Icon 49: Width = 42, Height = 42, Text Width = 88, Text Height = 13, Max Width = 88, Max Height = 57, x = 401, y = 2891, Text = TrivialPursuitDe.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TrivialPursuitDe.info
Icon 50: Width = 42, Height = 42, Text Width = 110, Text Height = 13, Max Width = 110, Max Height = 57, x = 214, y = 2891, Text = TrivialPursuitANBFr.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TrivialPursuitANBFr.info
Icon 51: Width = 42, Height = 42, Text Width = 114, Text Height = 13, Max Width = 114, Max Height = 57, x = 36, y = 2891, Text = TrivialPursuitANBDe.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TrivialPursuitANBDe.info
Icon 52: Width = 42, Height = 42, Text Width = 98, Text Height = 13, Max Width = 98, Max Height = 57, x = 748, y = 2824, Text = TrivialPursuitANB.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TrivialPursuitANB.info
Icon 53: Width = 42, Height = 42, Text Width = 72, Text Height = 13, Max Width = 72, Max Height = 57, x = 585, y = 2824, Text = TrivialPursuit.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TrivialPursuit.info
Icon 54: Width = 42, Height = 42, Text Width = 40, Text Height = 13, Max Width = 42, Max Height = 57, x = 424, y = 2824, Text = TripleX.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TripleX.info
Icon 55: Width = 42, Height = 42, Text Width = 121, Text Height = 13, Max Width = 121, Max Height = 57, x = 208, y = 2824, Text = TrickyQuikyGamesDe.info, Path = PC:MyProjects/Retroplay-WHDLoad-downloader-1/Extracted/Games/T/TrickyQuikyGamesDe.info
