[17:46:40][INFO] Memory tracking initialized
[17:46:48][DEBUG] FREE: 29 bytes at 0x0007086c (allocated src\icon_types.c:221, freed src\icon_types.c:259) [Current: 2866]
[17:46:48][DEBUG] ALLOC: 24 bytes at 0x0007086c (src\icon_types.c:276) [Current: 2890, Peak: 3871]
[17:46:48][DEBUG] FREE: 24 bytes at 0x0007086c (allocated src\icon_types.c:276, freed src\icon_types.c:347) [Current: 2866]
[17:46:48][DEBUG] ALLOC: 29 bytes at 0x0007086c (src\icon_management.c:515) [Current: 2895, Peak: 3871]
[17:46:48][DEBUG] ALLOC: 26 bytes at 0x000708ac (src\icon_management.c:532) [Current: 2921, Peak: 3871]
[17:46:48][DEBUG] ALLOC: 27 bytes at 0x000708e4 (src\icon_types.c:221) [Current: 2948, Peak: 3871]
[17:46:48][DEBUG] FREE: 27 bytes at 0x000708e4 (allocated src\icon_types.c:221, freed src\icon_types.c:259) [Current: 2921]
[17:46:48][DEBUG] ALLOC: 22 bytes at 0x000708e4 (src\icon_types.c:276) [Current: 2943, Peak: 3871]
[17:46:48][DEBUG] FREE: 22 bytes at 0x000708e4 (allocated src\icon_types.c:276, freed src\icon_types.c:347) [Current: 2921]
[17:46:48][DEBUG] ALLOC: 27 bytes at 0x000708e4 (src\icon_management.c:515) [Current: 2948, Peak: 3871]
[17:46:48][DEBUG] ALLOC: 24 bytes at 0x0007091c (src\icon_management.c:532) [Current: 2972, Peak: 3871]
[17:46:48][DEBUG] ALLOC: 21 bytes at 0x00070954 (src\icon_types.c:221) [Current: 2993, Peak: 3871]
[17:46:48][DEBUG] FREE: 21 bytes at 0x00070954 (allocated src\icon_types.c:221, freed src\icon_types.c:259) [Current: 2972]
[17:46:48][DEBUG] ALLOC: 16 bytes at 0x00070954 (src\icon_types.c:276) [Current: 2988, Peak: 3871]
[17:46:48][DEBUG] FREE: 16 bytes at 0x00070954 (allocated src\icon_types.c:276, freed src\icon_types.c:347) [Current: 2972]
[17:46:48][DEBUG] ALLOC: 21 bytes at 0x00070954 (src\icon_management.c:515) [Current: 2993, Peak: 3871]
[17:46:48][DEBUG] ALLOC: 18 bytes at 0x0007098c (src\icon_management.c:532) [Current: 3011, Peak: 3871]
[17:46:48][DEBUG] ALLOC: 26 bytes at 0x000709bc (src\icon_types.c:221) [Current: 3037, Peak: 3871]
[17:46:48][DEBUG] FREE: 26 bytes at 0x000709bc (allocated src\icon_types.c:221, freed src\icon_types.c:259) [Current: 3011]
[17:46:48][DEBUG] ALLOC: 21 bytes at 0x000709bc (src\icon_types.c:276) [Current: 3032, Peak: 3871]
[17:46:48][DEBUG] FREE: 21 bytes at 0x000709bc (allocated src\icon_types.c:276, freed src\icon_types.c:347) [Current: 3011]
[17:46:48][DEBUG] ALLOC: 26 bytes at 0x000709bc (src\icon_management.c:515) [Current: 3037, Peak: 3871]
[17:46:48][DEBUG] ALLOC: 23 bytes at 0x000709f4 (src\icon_management.c:532) [Current: 3060, Peak: 3871]
[17:46:48][DEBUG] ALLOC: 22 bytes at 0x00070a2c (src\icon_types.c:221) [Current: 3082, Peak: 3871]
[17:46:48][DEBUG] FREE: 22 bytes at 0x00070a2c (allocated src\icon_types.c:221, freed src\icon_types.c:259) [Current: 3060]
[17:46:48][DEBUG] ALLOC: 17 bytes at 0x00070a2c (src\icon_types.c:276) [Current: 3077, Peak: 3871]
[17:46:48][DEBUG] FREE: 17 bytes at 0x00070a2c (allocated src\icon_types.c:276, freed src\icon_types.c:347) [Current: 3060]
[17:46:48][DEBUG] ALLOC: 22 bytes at 0x00070a2c (src\icon_management.c:515) [Current: 3082, Peak: 3871]
[17:46:48][DEBUG] ALLOC: 19 bytes at 0x00070a64 (src\icon_management.c:532) [Current: 3101, Peak: 3871]
[17:46:48][DEBUG] ALLOC: 24 bytes at 0x00070a94 (src\icon_types.c:221) [Current: 3125, Peak: 3871]
[17:46:48][DEBUG] FREE: 24 bytes at 0x00070a94 (allocated src\icon_types.c:221, freed src\icon_types.c:259) [Current: 3101]
[17:46:48][DEBUG] ALLOC: 19 bytes at 0x00070a94 (src\icon_types.c:276) [Current: 3120, Peak: 3871]
[17:46:48][DEBUG] FREE: 19 bytes at 0x00070a94 (allocated src\icon_types.c:276, freed src\icon_types.c:347) [Current: 3101]
[17:46:48][DEBUG] ALLOC: 24 bytes at 0x00070a94 (src\icon_management.c:515) [Current: 3125, Peak: 3871]
[17:46:48][DEBUG] ALLOC: 21 bytes at 0x00070acc (src\icon_management.c:532) [Current: 3146, Peak: 3871]
[17:46:48][DEBUG] ALLOC: 25 bytes at 0x00070b04 (src\icon_types.c:221) [Current: 3171, Peak: 3871]
[17:46:48][DEBUG] FREE: 25 bytes at 0x00070b04 (allocated src\icon_types.c:221, freed src\icon_types.c:259) [Current: 3146]
[17:46:48][DEBUG] ALLOC: 20 bytes at 0x00070b04 (src\icon_types.c:276) [Current: 3166, Peak: 3871]
[17:46:48][DEBUG] FREE: 20 bytes at 0x00070b04 (allocated src\icon_types.c:276, freed src\icon_types.c:347) [Current: 3146]
[17:46:48][DEBUG] ALLOC: 25 bytes at 0x00070b04 (src\icon_management.c:515) [Current: 3171, Peak: 3871]
[17:46:48][DEBUG] ALLOC: 22 bytes at 0x00070b3c (src\icon_management.c:532) [Current: 3193, Peak: 3871]
[17:46:48][DEBUG] FREE: 22 bytes at 0x00070b3c (allocated src\icon_management.c:532, freed src\icon_management.c:41) [Current: 3171]
[17:46:48][DEBUG] FREE: 25 bytes at 0x00070b04 (allocated src\icon_management.c:515, freed src\icon_management.c:45) [Current: 3146]
[17:46:48][DEBUG] FREE: 21 bytes at 0x00070acc (allocated src\icon_management.c:532, freed src\icon_management.c:41) [Current: 3125]
[17:46:48][DEBUG] FREE: 24 bytes at 0x00070a94 (allocated src\icon_management.c:515, freed src\icon_management.c:45) [Current: 3101]
[17:46:48][DEBUG] FREE: 19 bytes at 0x00070a64 (allocated src\icon_management.c:532, freed src\icon_management.c:41) [Current: 3082]
[17:46:48][DEBUG] FREE: 22 bytes at 0x00070a2c (allocated src\icon_management.c:515, freed src\icon_management.c:45) [Current: 3060]
[17:46:48][DEBUG] FREE: 18 bytes at 0x0007098c (allocated src\icon_management.c:532, freed src\icon_management.c:41) [Current: 3042]
[17:46:48][DEBUG] FREE: 21 bytes at 0x00070954 (allocated src\icon_management.c:515, freed src\icon_management.c:45) [Current: 3021]
[17:46:48][DEBUG] FREE: 14 bytes at 0x0007083c (allocated src\icon_management.c:532, freed src\icon_management.c:41) [Current: 3007]
[17:46:48][DEBUG] FREE: 17 bytes at 0x0007080c (allocated src\icon_management.c:515, freed src\icon_management.c:45) [Current: 2990]
[17:46:48][DEBUG] FREE: 12 bytes at 0x000707e4 (allocated src\icon_management.c:532, freed src\icon_management.c:41) [Current: 2978]
[17:46:48][DEBUG] FREE: 15 bytes at 0x000707b4 (allocated src\icon_management.c:515, freed src\icon_management.c:45) [Current: 2963]
[17:46:48][DEBUG] FREE: 11 bytes at 0x0007072c (allocated src\icon_management.c:532, freed src\icon_management.c:41) [Current: 2952]
[17:46:48][DEBUG] FREE: 14 bytes at 0x0007076c (allocated src\icon_management.c:515, freed src\icon_management.c:45) [Current: 2938]
[17:46:48][DEBUG] FREE: 14 bytes at 0x00070c2c (allocated src\icon_management.c:532, freed src\icon_management.c:41) [Current: 2924]
[17:46:48][DEBUG] FREE: 17 bytes at 0x00070bfc (allocated src\icon_management.c:515, freed src\icon_management.c:45) [Current: 2907]
[17:46:48][DEBUG] FREE: 19 bytes at 0x00070bcc (allocated src\icon_management.c:532, freed src\icon_management.c:41) [Current: 2888]
[17:46:48][DEBUG] FREE: 22 bytes at 0x000706f4 (allocated src\icon_management.c:515, freed src\icon_management.c:45) [Current: 2866]
[17:46:48][DEBUG] FREE: 13 bytes at 0x00070594 (allocated src\icon_management.c:532, freed src\icon_management.c:41) [Current: 2853]
[17:46:48][DEBUG] FREE: 16 bytes at 0x00070564 (allocated src\icon_management.c:515, freed src\icon_management.c:45) [Current: 2837]
[17:46:48][DEBUG] FREE: 17 bytes at 0x0007073c (allocated src\icon_management.c:532, freed src\icon_management.c:41) [Current: 2820]
[17:46:48][DEBUG] FREE: 20 bytes at 0x000704b4 (allocated src\icon_management.c:515, freed src\icon_management.c:45) [Current: 2800]
[17:46:48][DEBUG] FREE: 8 bytes at 0x0007048c (allocated src\icon_management.c:532, freed src\icon_management.c:41) [Current: 2792]
[17:46:48][DEBUG] FREE: 11 bytes at 0x00070464 (allocated src\icon_management.c:515, freed src\icon_management.c:45) [Current: 2781]
[17:46:48][DEBUG] FREE: 9 bytes at 0x0007043c (allocated src\icon_management.c:532, freed src\icon_management.c:41) [Current: 2772]
[17:46:48][DEBUG] FREE: 12 bytes at 0x00070414 (allocated src\icon_management.c:515, freed src\icon_management.c:45) [Current: 2760]
[17:46:48][DEBUG] FREE: 11 bytes at 0x00070394 (allocated src\icon_management.c:532, freed src\icon_management.c:41) [Current: 2749]
[17:46:48][DEBUG] FREE: 14 bytes at 0x00070364 (allocated src\icon_management.c:515, freed src\icon_management.c:45) [Current: 2735]
[17:46:48][DEBUG] FREE: 11 bytes at 0x0007033c (allocated src\icon_management.c:532, freed src\icon_management.c:41) [Current: 2724]
[17:46:48][DEBUG] FREE: 14 bytes at 0x0007030c (allocated src\icon_management.c:515, freed src\icon_management.c:45) [Current: 2710]
[17:46:48][DEBUG] FREE: 15 bytes at 0x000702dc (allocated src\icon_management.c:532, freed src\icon_management.c:41) [Current: 2695]
[17:46:48][DEBUG] FREE: 18 bytes at 0x000702ac (allocated src\icon_management.c:515, freed src\icon_management.c:45) [Current: 2677]
[17:46:48][DEBUG] FREE: 23 bytes at 0x000709f4 (allocated src\icon_management.c:532, freed src\icon_management.c:41) [Current: 2654]
[17:46:48][DEBUG] FREE: 26 bytes at 0x000709bc (allocated src\icon_management.c:515, freed src\icon_management.c:45) [Current: 2628]
[17:46:48][DEBUG] FREE: 24 bytes at 0x0007091c (allocated src\icon_management.c:532, freed src\icon_management.c:41) [Current: 2604]
[17:46:48][DEBUG] FREE: 27 bytes at 0x000708e4 (allocated src\icon_management.c:515, freed src\icon_management.c:45) [Current: 2577]
[17:46:48][DEBUG] FREE: 26 bytes at 0x000708ac (allocated src\icon_management.c:532, freed src\icon_management.c:41) [Current: 2551]
[17:46:48][DEBUG] FREE: 29 bytes at 0x0007086c (allocated src\icon_management.c:515, freed src\icon_management.c:45) [Current: 2522]
[17:46:48][DEBUG] FREE: 14 bytes at 0x00070c8c (allocated src\icon_management.c:532, freed src\icon_management.c:41) [Current: 2508]
